class,rank,feature,coefficient
negative,1,no,4.932924341616221
negative,2,not,4.891136216820207
negative,3,delayed,4.178759290608298
negative,4,hours,4.085262109666642
negative,5,worst,3.3774925141833383
negative,6,why,3.313618267606967
negative,7,cancelled,3.254731051191129
negative,8,delay,3.170476117477343
negative,9,hour,3.0485375841141082
negative,10,your,2.823544126182981
negative,11,on hold,2.786945032559813
negative,12,call,2.7632400339974184
negative,13,hold,2.7614671317352806
negative,14,nothing,2.749438743160167
negative,15,again,2.65636543884962
neutral,1,is there,2.2630623074803218
neutral,2,hi,2.2567906197365577
neutral,3,can you,2.252386675426562
neutral,4,any,2.084633099133769
neutral,5,need,2.0450455471404423
neutral,6,user hi,2.0156319649948506
neutral,7,user can,1.9659521003285707
neutral,8,user do,1.9316500202539109
neutral,9,can,1.8757323941906785
neutral,10,dm,1.8613066265828397
neutral,11,user how,1.8507208420990349
neutral,12,do you,1.849874647058822
neutral,13,user when,1.7815154783523748
neutral,14,user any,1.775049290718934
neutral,15,user have,1.7739798157689994
positive,1,thanks,6.858960071765439
positive,2,great,6.62528807269732
positive,3,thank,4.773121563922183
positive,4,love,4.6403095226491144
positive,5,awesome,4.636047661722301
positive,6,amazing,4.23679562609943
positive,7,thank you,3.9145238264800692
positive,8,best,3.7132005367576038
positive,9,appreciate,3.4656110584301874
positive,10,the best,3.2605793304823414
positive,11,can wait,3.2341658722395876
positive,12,thx,3.161971541849576
positive,13,excellent,3.111678884624197
positive,14,wonderful,2.8346789550723046
positive,15,good,2.779785905800163
